"filename", "language", "MCMETA", "MC-Build", "JSON", "mcfunction", "JavaScript", "comment", "blank", "total"
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/22.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/23.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/24.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/25.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/26.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/27.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/28.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/29.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/3.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/30.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/31.mcfunction", "mcfunction", 0, 0, 0, 7, 0, 1, 0, 8
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/31_root_commands.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/32.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/33.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/34.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/35.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/36.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/37.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/38.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/39.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/4.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/40.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/41.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/42.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/43.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/44.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/45.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
